latitude,longitude,cluster
37.76900100708008,-122.48350143432617,4
37.77215003967285,-122.44700241088867,4
37.51210021972656,-122.3499984741211,8
37.78070068359375,-122.51399993896484,4
37.75090026855469,-122.48999786376953,4
36.990400314331055,-122.05899810791016,1
37.76900100708008,-122.48350143432617,4
36.99429893493652,-122.05849838256836,1
37.77750015258789,-122.51150131225586,4
36.990400314331055,-122.05899810791016,1
36.982648849487305,-121.87249755859375,6
37.124149322509766,-121.98049926757812,1
37.245100021362305,-122.14400100708008,3
36.982648849487305,-121.87249755859375,6
37.11910057067871,-122.1245002746582,1
37.76900100708008,-122.48350143432617,4
37.435800552368164,-122.34199905395508,8
36.91494941711426,-121.76300048828125,6
37.81235122680664,-122.18850326538086,2
37.79034996032715,-122.16450119018555,2
37.77694892883301,-122.18149948120117,2
37.78070068359375,-122.51399993896484,4
37.76594924926758,-122.46750259399414,4
37.72434997558594,-122.48199844360352,4
37.89970016479492,-122.24800109863281,2
36.91494941711426,-121.76300048828125,6
37.89970016479492,-122.24800109863281,2
36.99279975891113,-122.00400161743164,1
37.76544952392578,-122.47749710083008,4
37.00379943847656,-122.05550003051758,1
37.87260055541992,-122.24200057983398,2
37.05659866333008,-122.1349983215332,1
37.8755989074707,-122.24749755859375,2
37.49504852294922,-122.36899948120117,8
36.990400314331055,-122.05899810791016,1
37.75764846801758,-122.44400024414062,4
37.86479949951172,-122.3120002746582,2
37.75764846801758,-122.44400024414062,4
37.76900100708008,-122.48350143432617,4
37.8755989074707,-122.24749755859375,2
37.78070068359375,-122.51399993896484,4
37.124149322509766,-121.98049926757812,1
36.985450744628906,-122.0374984741211,1
37.87335014343262,-122.26449966430664,2
37.074649810791016,-122.10950088500977,1
37.54890060424805,-122.2594985961914,8
37.67864990234375,-122.45249938964844,4
37.46179962158203,-122.25350189208984,8
37.87825012207031,-122.23649978637695,2
37.15534973144531,-122.23699951171875,3
37.39284896850586,-122.31800079345703,8
36.982648849487305,-121.87249755859375,6
37.245100021362305,-122.14400100708008,3
37.124149322509766,-121.98049926757812,1
37.11910057067871,-122.1245002746582,1
37.124149322509766,-121.98049926757812,1
37.55139923095703,-122.33499908447266,8
36.995399475097656,-122.04299926757812,1
37.848899841308594,-122.20550155639648,2
37.72434997558594,-122.48199844360352,4
37.55139923095703,-122.33499908447266,8
37.76984977722168,-122.46599960327148,4
37.114898681640625,-122.2614974975586,3
36.891849517822266,-121.71100234985352,6
37.883649826049805,-122.22200012207031,2
37.8755989074707,-122.24749755859375,2
37.54215049743652,-122.51649856567383,4
37.77750015258789,-122.51150131225586,4
37.77215003967285,-122.44700241088867,4
37.42254829406738,-122.28800201416016,8
37.7681999206543,-122.44100189208984,4
37.76900100708008,-122.48350143432617,4
37.97220039367676,-122.61950302124023,0
37.18734931945801,-121.85900115966797,6
37.15534973144531,-122.23699951171875,3
37.83289909362793,-122.16550064086914,2
37.08399963378906,-122.0615005493164,1
37.43619918823242,-122.29899978637695,8
37.435800552368164,-122.34199905395508,8
37.435800552368164,-122.34199905395508,8
37.81865119934082,-122.14300155639648,2
37.124149322509766,-121.98049926757812,1
37.83289909362793,-122.16550064086914,2
37.84229850769043,-122.19049835205078,2
37.24059867858887,-122.09149932861328,3
37.124149322509766,-121.98049926757812,1
37.23925018310547,-121.79199981689453,6
37.81235122680664,-122.18850326538086,2
37.815250396728516,-122.16300201416016,2
37.06254959106445,-122.02949905395508,1
37.43619918823242,-122.29899978637695,8
38.06800079345703,-122.74100112915039,0
36.990400314331055,-122.05899810791016,1
37.06254959106445,-122.02949905395508,1
37.435800552368164,-122.34199905395508,8
37.83289909362793,-122.16550064086914,2
36.982648849487305,-121.87249755859375,6
37.435800552368164,-122.34199905395508,8
37.81235122680664,-122.18850326538086,2
37.25710105895996,-122.24699783325195,3
37.00379943847656,-122.05550003051758,1
36.990400314331055,-122.05899810791016,1
37.02499961853027,-122.05800247192383,1
37.83289909362793,-122.16550064086914,2
37.06254959106445,-122.02949905395508,1
37.43619918823242,-122.29899978637695,8
36.982648849487305,-121.87249755859375,6
37.063499450683594,-122.10299682617188,1
36.985450744628906,-122.0374984741211,1
37.124149322509766,-121.98049926757812,1
36.982648849487305,-121.87249755859375,6
37.0526008605957,-122.06300354003906,1
37.02854919433594,-121.88050079345703,6
37.83289909362793,-122.16550064086914,2
37.80014991760254,-122.16899871826172,2
37.435800552368164,-122.34199905395508,8
37.01115036010742,-122.06650161743164,1
37.80014991760254,-122.16899871826172,2
37.80014991760254,-122.16899871826172,2
37.878299713134766,-122.23550033569336,2
36.99515151977539,-121.78799819946289,6
37.33015060424805,-122.18000030517578,3
36.56159973144531,-121.86599731445312,5
37.81235122680664,-122.18850326538086,2
37.83289909362793,-122.16550064086914,2
36.610300064086914,-121.93199920654297,5
