id,version,"created_at","updated_at",user_id,description_id,rss_log_id,num_views,"last_view",rank,"text_name","search_name","display_name","sort_name","citation",deprecated,synonym_id,correct_spelling_id,"notes","classification",ok_for_export,"author","lifeform",locked
15162,4,"2008-12-12 16:52:23","2018-05-14 17:30:25",25,5083,135721,1154,"2018-08-22 21:47:43",4,"Bolbitius titubans","Bolbitius titubans (Bull.) Fr.","**__Bolbitius titubans__** (Bull.) Fr.","Bolbitius titubans  (Bull.) Fr.","\"_Epicr. syst. mycol._ (Upsaliae): 254\":http://www.librifungorum.org/Image.asp?ItemID=634&ImageFileName=0254b.jpg (1838) ==[==1836-1838]",0,6768,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Bolbitiaceae_",1,"(Bull.) Fr."," ",0
15168,3,"2008-12-13 03:19:39","2013-02-10 23:57:20",758,1265,18086,1064,"2018-09-09 03:49:56",4,"Hohenbuehelia petaloides","Hohenbuehelia petaloides (Bull.) Schulzer","**__Hohenbuehelia petaloides__** (Bull.) Schulzer","Hohenbuehelia petaloides  (Bull.) Schulzer","in Schulzer, Kanitz & Knapp, Verh. zool.-bot. Ges. Wien 16(Abh.): 45 (1866)",0,3465,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Pleurotaceae_",1,"(Bull.) Schulzer"," ",0
15169,7,"2008-12-13 18:33:05","2017-12-31 18:20:04",423,1266,18167,15452,"2018-09-10 01:28:19",4,"Panaeolus cinctulus","Panaeolus cinctulus (Bolton) Britzelm.","**__Panaeolus cinctulus__** (Bolton) Britzelm.","Panaeolus cinctulus  (Bolton) Britzelm.","Saccardo, P.A. Sylloge Fungorum 5, 1887",0,2514,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_",1,"(Bolton) Britzelm."," ",0
15175,2,"2008-12-14 14:27:31","2014-07-20 23:53:48",2,2827,195038,81,"2018-08-14 05:32:38",9,"Chlorencoelia","Chlorencoelia J.R. Dixon","**__Chlorencoelia__** J.R. Dixon","Chlorencoelia  J.R. Dixon","Mycotaxon 1(3): 223 (1975)",0,NULL,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Ascomycota_
Class: _Leotiomycetes_
Order: _Helotiales_
Family: _Hemiphacidiaceae_",1,"J.R. Dixon"," ",0
15180,2,"2008-12-15 06:19:21","2010-05-16 07:14:27",956,NULL,NULL,144,"2018-07-08 13:32:34",4,"Cortinarius rotundisporus","Cortinarius rotundisporus Cleland & Cheel","**__Cortinarius rotundisporus__** Cleland & Cheel","Cortinarius rotundisporus  Cleland & Cheel",NULL,0,NULL,NULL,NULL,NULL,1,"Cleland & Cheel"," ",0
15183,2,"2008-12-15 17:55:25","2008-12-15 17:59:58",25,NULL,NULL,436,"2018-08-18 19:46:28",4,"Ramaria violaceibrunnea","Ramaria violaceibrunnea (Marr & D.E. Stuntz) R.H. Petersen","**__Ramaria violaceibrunnea__** (Marr & D.E. Stuntz) R.H. Petersen","Ramaria violaceibrunnea  (Marr & D.E. Stuntz) R.H. Petersen","Acta Bot. Yunn. 8(3): 293 (1986)",0,2515,NULL,NULL,NULL,1,"(Marr & D.E. Stuntz) R.H. Petersen"," ",0
15185,1,"2008-12-16 04:09:34","2008-12-16 04:09:34",164,NULL,NULL,383,"2018-09-07 19:05:52",16,"Agaricus silvicola group","Agaricus silvicola group","**__Agaricus silvicola__** group","Agaricus silvicola   group",NULL,0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Agaricaceae_",1,""," ",0
15189,2,"2008-12-22 07:07:37","2013-01-09 18:41:22",779,NULL,134148,348,"2018-09-09 21:46:29",4,"Lycoperdon curtisii","Lycoperdon curtisii Berk.","**__Lycoperdon curtisii__** Berk.","Lycoperdon curtisii  Berk.","N. Amer. Fung.: no. 333 (1859) [1853-1859]",0,3916,NULL,"",NULL,1,"Berk."," ",0
15192,7,"2008-12-23 13:25:05","2015-02-07 05:50:56",779,1268,22481,256,"2018-08-30 18:09:30",4,"Russula graveolens","Russula graveolens Romell","**__Russula graveolens__** Romell","Russula graveolens  Romell","in Britzelmayr 13: 17 (1885)",0,4796,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Russulales_
Family: _Russulaceae_",1,"Romell"," ",0
15216,1,"2009-01-06 14:36:24","2009-01-06 14:36:24",242,NULL,NULL,631,"2018-09-08 03:26:45",16,"Amanita flavoconia group","Amanita flavoconia group","**__Amanita flavoconia__** group","Amanita flavoconia   group",NULL,0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Amanitaceae_",1,""," ",0
15220,4,"2009-01-08 00:09:00","2014-02-21 00:05:26",242,1273,18988,1857,"2018-09-09 17:33:21",4,"Clathrus ruber","Clathrus ruber P. Micheli ex Pers.","**__Clathrus ruber__** P. Micheli ex Pers.","Clathrus ruber  P. Micheli ex Pers.","Syn. meth. fung. (Göttingen) 2: [241] (1801)",0,73,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Phallales_
Family: _Phallaceae_",1,"P. Micheli ex Pers."," ",0
